context_0,reply
"Z nt,z yt gjybvf.","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
skfjskfj,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Пока,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
"Все, пока","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я ухожу,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Z e[j;e,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
"cgfcb,j pf hfpujdjh","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Спасибо за информацию,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Спасибо за разговор,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я тебе не верю,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я тебе верб,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ты не прав,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ns yt ghfd,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Это неправда,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ты врещь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ты врешь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ns dhtim,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ваьааыоли,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
safhakfbvb,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
vs dct evhtv,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
мы все умрем,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
превед медвед,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
а что это вы тут делаете,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Зачем?,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
зачем,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Кто виноват,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что делать,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
rnj dbyjdfn,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
чтоты думаешь о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что ты думаешт о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что ты думаешь о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
привет,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
куда нужно нажимать,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
улдйцлудф,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
не могу .,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
